"","X1","X2","count","description"
"184","Sobic.001G275600.2.p","ABRE",6,"Plant hormone related"
"185","Sobic.001G275800.1.p","ABRE",5,"Plant hormone related"
"186","Sobic.001G276100.1.p","ABRE",10,"Plant hormone related"
"187","Sobic.001G276300.1.p","ABRE",3,"Plant hormone related"
"188","Sobic.001G276400.1.p","ABRE",14,"Plant hormone related"
"189","Sobic.001G276600.1.p","ABRE",1,"Plant hormone related"
"190","Sobic.001G276700.1.p","ABRE",2,"Plant hormone related"
"191","Sobic.001G276800.1.p","ABRE",1,"Plant hormone related"
"192","Sobic.001G282000.1.p","ABRE",2,"Plant hormone related"
"193","Sobic.001G282100.1.p","ABRE",7,"Plant hormone related"
"194","Sobic.001G302800.1.p","ABRE",3,"Plant hormone related"
"195","Sobic.001G443900.1.p","ABRE",4,"Plant hormone related"
"196","Sobic.001G444000.1.p","ABRE",3,"Plant hormone related"
"197","Sobic.001G444100.1.p","ABRE",0,"Plant hormone related"
"198","Sobic.001G511000.2.p","ABRE",1,"Plant hormone related"
"199","Sobic.001G541900.2.p","ABRE",0,"Plant hormone related"
"200","Sobic.002G000800.2.p","ABRE",3,"Plant hormone related"
"201","Sobic.002G064800.1.p","ABRE",4,"Plant hormone related"
"202","Sobic.002G091800.1.p","ABRE",0,"Plant hormone related"
"203","Sobic.002G367700.1.p","ABRE",0,"Plant hormone related"
"204","Sobic.003G076200.2.p","ABRE",2,"Plant hormone related"
"205","Sobic.003G107100.1.p","ABRE",4,"Plant hormone related"
"206","Sobic.003G185100.1.p","ABRE",1,"Plant hormone related"
"207","Sobic.003G295500.1.p","ABRE",1,"Plant hormone related"
"208","Sobic.003G304000.1.p","ABRE",7,"Plant hormone related"
"209","Sobic.003G304100.1.p","ABRE",0,"Plant hormone related"
"210","Sobic.003G371000.1.p","ABRE",5,"Plant hormone related"
"211","Sobic.003G371100.1.p","ABRE",4,"Plant hormone related"
"212","Sobic.003G371250.1.p","ABRE",3,"Plant hormone related"
"213","Sobic.003G371400.1.p","ABRE",10,"Plant hormone related"
"214","Sobic.003G371600.2.p","ABRE",0,"Plant hormone related"
"215","Sobic.003G371750.1.p","ABRE",6,"Plant hormone related"
"216","Sobic.003G372000.1.p","ABRE",0,"Plant hormone related"
"217","Sobic.003G372100.2.p","ABRE",2,"Plant hormone related"
"218","Sobic.003G392700.1.p","ABRE",4,"Plant hormone related"
"219","Sobic.003G399200.1.p","ABRE",3,"Plant hormone related"
"220","Sobic.004G193000.1.p","ABRE",6,"Plant hormone related"
"221","Sobic.004G243200.1.p","ABRE",2,"Plant hormone related"
"222","Sobic.004G260500.1.p","ABRE",5,"Plant hormone related"
"223","Sobic.004G276200.1.p","ABRE",8,"Plant hormone related"
"224","Sobic.005G090600.1.p","ABRE",0,"Plant hormone related"
"225","Sobic.005G107400.1.p","ABRE",0,"Plant hormone related"
"226","Sobic.005G107500.1.p","ABRE",0,"Plant hormone related"
"227","Sobic.005G110466.1.p","ABRE",5,"Plant hormone related"
"228","Sobic.006G089300.1.p","ABRE",4,"Plant hormone related"
"229","Sobic.006G130400.1.p","ABRE",0,"Plant hormone related"
"230","Sobic.006G130501.1.p","ABRE",1,"Plant hormone related"
"231","Sobic.006G130600.2.p","ABRE",1,"Plant hormone related"
"232","Sobic.006G130700.1.p","ABRE",5,"Plant hormone related"
"233","Sobic.006G155200.1.p","ABRE",9,"Plant hormone related"
"234","Sobic.006G201100.1.p","ABRE",2,"Plant hormone related"
"235","Sobic.006G201200.1.p","ABRE",5,"Plant hormone related"
"236","Sobic.006G251200.1.p","ABRE",4,"Plant hormone related"
"237","Sobic.006G279700.1.p","ABRE",3,"Plant hormone related"
"238","Sobic.007G044300.1.p","ABRE",1,"Plant hormone related"
"239","Sobic.007G064500.1.p","ABRE",0,"Plant hormone related"
"240","Sobic.007G081300.1.p","ABRE",5,"Plant hormone related"
"241","Sobic.007G160900.1.p","ABRE",2,"Plant hormone related"
"242","Sobic.007G213200.1.p","ABRE",8,"Plant hormone related"
"243","Sobic.008G081200.1.p","ABRE",0,"Plant hormone related"
"244","Sobic.008G081400.1.p","ABRE",1,"Plant hormone related"
"245","Sobic.008G081500.1.p","ABRE",3,"Plant hormone related"
"246","Sobic.008G180300.1.p","ABRE",2,"Plant hormone related"
"247","Sobic.008G190200.1.p","ABRE",5,"Plant hormone related"
"248","Sobic.009G049900.4.p","ABRE",1,"Plant hormone related"
"249","Sobic.009G099000.1.p","ABRE",7,"Plant hormone related"
"250","Sobic.009G101800.2.p","ABRE",2,"Plant hormone related"
"251","Sobic.009G136500.1.p","ABRE",0,"Plant hormone related"
"252","Sobic.009G136600.1.p","ABRE",2,"Plant hormone related"
"253","Sobic.009G136700.1.p","ABRE",1,"Plant hormone related"
"254","Sobic.009G136800.1.p","ABRE",3,"Plant hormone related"
"255","Sobic.009G136900.1.p","ABRE",2,"Plant hormone related"
"256","Sobic.009G148800.1.p","ABRE",7,"Plant hormone related"
"257","Sobic.009G148900.1.p","ABRE",3,"Plant hormone related"
"258","Sobic.010G099700.1.p","ABRE",3,"Plant hormone related"
"259","Sobic.010G109200.1.p","ABRE",4,"Plant hormone related"
"260","Sobic.010G127800.1.p","ABRE",1,"Plant hormone related"
"261","Sobic.010G133100.1.p","ABRE",0,"Plant hormone related"
"262","Sobic.010G166850.1.p","ABRE",4,"Plant hormone related"
"263","Sobic.010G175900.2.p","ABRE",0,"Plant hormone related"
"264","Sobic.K022800.1.p","ABRE",0,"Plant hormone related"
"265","Sobic.001G032000.1.p","ABRE3a",0,"Plant hormone related"
"266","Sobic.001G099400.1.p","ABRE3a",1,"Plant hormone related"
"267","Sobic.001G111150.1.p","ABRE3a",0,"Plant hormone related"
"268","Sobic.001G133900.1.p","ABRE3a",0,"Plant hormone related"
"269","Sobic.001G223100.2.p","ABRE3a",0,"Plant hormone related"
"270","Sobic.001G223200.1.p","ABRE3a",1,"Plant hormone related"
"271","Sobic.001G275500.2.p","ABRE3a",0,"Plant hormone related"
"272","Sobic.001G275600.2.p","ABRE3a",1,"Plant hormone related"
"273","Sobic.001G275800.1.p","ABRE3a",0,"Plant hormone related"
"274","Sobic.001G276100.1.p","ABRE3a",0,"Plant hormone related"
"275","Sobic.001G276300.1.p","ABRE3a",0,"Plant hormone related"
"276","Sobic.001G276400.1.p","ABRE3a",3,"Plant hormone related"
"277","Sobic.001G276600.1.p","ABRE3a",0,"Plant hormone related"
"278","Sobic.001G276700.1.p","ABRE3a",0,"Plant hormone related"
"279","Sobic.001G276800.1.p","ABRE3a",0,"Plant hormone related"
"280","Sobic.001G282000.1.p","ABRE3a",0,"Plant hormone related"
"281","Sobic.001G282100.1.p","ABRE3a",1,"Plant hormone related"
"282","Sobic.001G302800.1.p","ABRE3a",1,"Plant hormone related"
"283","Sobic.001G443900.1.p","ABRE3a",2,"Plant hormone related"
"284","Sobic.001G444000.1.p","ABRE3a",2,"Plant hormone related"
"285","Sobic.001G444100.1.p","ABRE3a",0,"Plant hormone related"
"286","Sobic.001G511000.2.p","ABRE3a",1,"Plant hormone related"
"287","Sobic.001G541900.2.p","ABRE3a",0,"Plant hormone related"
"288","Sobic.002G000800.2.p","ABRE3a",0,"Plant hormone related"
"289","Sobic.002G064800.1.p","ABRE3a",0,"Plant hormone related"
"290","Sobic.002G091800.1.p","ABRE3a",0,"Plant hormone related"
"291","Sobic.002G367700.1.p","ABRE3a",0,"Plant hormone related"
"292","Sobic.003G076200.2.p","ABRE3a",1,"Plant hormone related"
"293","Sobic.003G107100.1.p","ABRE3a",1,"Plant hormone related"
"294","Sobic.003G185100.1.p","ABRE3a",1,"Plant hormone related"
"295","Sobic.003G295500.1.p","ABRE3a",1,"Plant hormone related"
"296","Sobic.003G304000.1.p","ABRE3a",1,"Plant hormone related"
"297","Sobic.003G304100.1.p","ABRE3a",0,"Plant hormone related"
"298","Sobic.003G371000.1.p","ABRE3a",2,"Plant hormone related"
"299","Sobic.003G371100.1.p","ABRE3a",1,"Plant hormone related"
"300","Sobic.003G371250.1.p","ABRE3a",0,"Plant hormone related"
"301","Sobic.003G371400.1.p","ABRE3a",2,"Plant hormone related"
"302","Sobic.003G371600.2.p","ABRE3a",0,"Plant hormone related"
"303","Sobic.003G371750.1.p","ABRE3a",0,"Plant hormone related"
"304","Sobic.003G372000.1.p","ABRE3a",0,"Plant hormone related"
"305","Sobic.003G372100.2.p","ABRE3a",1,"Plant hormone related"
"306","Sobic.003G392700.1.p","ABRE3a",1,"Plant hormone related"
"307","Sobic.003G399200.1.p","ABRE3a",0,"Plant hormone related"
"308","Sobic.004G193000.1.p","ABRE3a",1,"Plant hormone related"
"309","Sobic.004G243200.1.p","ABRE3a",0,"Plant hormone related"
"310","Sobic.004G260500.1.p","ABRE3a",0,"Plant hormone related"
"311","Sobic.004G276200.1.p","ABRE3a",2,"Plant hormone related"
"312","Sobic.005G090600.1.p","ABRE3a",0,"Plant hormone related"
"313","Sobic.005G107400.1.p","ABRE3a",0,"Plant hormone related"
"314","Sobic.005G107500.1.p","ABRE3a",0,"Plant hormone related"
"315","Sobic.005G110466.1.p","ABRE3a",1,"Plant hormone related"
"316","Sobic.006G089300.1.p","ABRE3a",1,"Plant hormone related"
"317","Sobic.006G130400.1.p","ABRE3a",0,"Plant hormone related"
"318","Sobic.006G130501.1.p","ABRE3a",0,"Plant hormone related"
"319","Sobic.006G130600.2.p","ABRE3a",0,"Plant hormone related"
"320","Sobic.006G130700.1.p","ABRE3a",0,"Plant hormone related"
"321","Sobic.006G155200.1.p","ABRE3a",2,"Plant hormone related"
"322","Sobic.006G201100.1.p","ABRE3a",0,"Plant hormone related"
"323","Sobic.006G201200.1.p","ABRE3a",1,"Plant hormone related"
"324","Sobic.006G251200.1.p","ABRE3a",1,"Plant hormone related"
"325","Sobic.006G279700.1.p","ABRE3a",1,"Plant hormone related"
"326","Sobic.007G044300.1.p","ABRE3a",0,"Plant hormone related"
"327","Sobic.007G064500.1.p","ABRE3a",0,"Plant hormone related"
"328","Sobic.007G081300.1.p","ABRE3a",0,"Plant hormone related"
"329","Sobic.007G160900.1.p","ABRE3a",1,"Plant hormone related"
"330","Sobic.007G213200.1.p","ABRE3a",1,"Plant hormone related"
"331","Sobic.008G081200.1.p","ABRE3a",0,"Plant hormone related"
"332","Sobic.008G081400.1.p","ABRE3a",0,"Plant hormone related"
"333","Sobic.008G081500.1.p","ABRE3a",0,"Plant hormone related"
"334","Sobic.008G180300.1.p","ABRE3a",0,"Plant hormone related"
"335","Sobic.008G190200.1.p","ABRE3a",2,"Plant hormone related"
"336","Sobic.009G049900.4.p","ABRE3a",0,"Plant hormone related"
"337","Sobic.009G099000.1.p","ABRE3a",1,"Plant hormone related"
"338","Sobic.009G101800.2.p","ABRE3a",0,"Plant hormone related"
"339","Sobic.009G136500.1.p","ABRE3a",0,"Plant hormone related"
"340","Sobic.009G136600.1.p","ABRE3a",0,"Plant hormone related"
"341","Sobic.009G136700.1.p","ABRE3a",0,"Plant hormone related"
"342","Sobic.009G136800.1.p","ABRE3a",1,"Plant hormone related"
"343","Sobic.009G136900.1.p","ABRE3a",0,"Plant hormone related"
"344","Sobic.009G148800.1.p","ABRE3a",2,"Plant hormone related"
"345","Sobic.009G148900.1.p","ABRE3a",1,"Plant hormone related"
"346","Sobic.010G099700.1.p","ABRE3a",0,"Plant hormone related"
"347","Sobic.010G109200.1.p","ABRE3a",0,"Plant hormone related"
"348","Sobic.010G127800.1.p","ABRE3a",0,"Plant hormone related"
"349","Sobic.010G133100.1.p","ABRE3a",0,"Plant hormone related"
"350","Sobic.010G166850.1.p","ABRE3a",0,"Plant hormone related"
"351","Sobic.010G175900.2.p","ABRE3a",0,"Plant hormone related"
"352","Sobic.K022800.1.p","ABRE3a",0,"Plant hormone related"
"353","Sobic.001G032000.1.p","ABRE4",0,"Plant hormone related"
"354","Sobic.001G099400.1.p","ABRE4",1,"Plant hormone related"
"355","Sobic.001G111150.1.p","ABRE4",0,"Plant hormone related"
"356","Sobic.001G133900.1.p","ABRE4",0,"Plant hormone related"
"357","Sobic.001G223100.2.p","ABRE4",0,"Plant hormone related"
"358","Sobic.001G223200.1.p","ABRE4",1,"Plant hormone related"
"359","Sobic.001G275500.2.p","ABRE4",0,"Plant hormone related"
"360","Sobic.001G275600.2.p","ABRE4",1,"Plant hormone related"
"361","Sobic.001G275800.1.p","ABRE4",0,"Plant hormone related"
"362","Sobic.001G276100.1.p","ABRE4",0,"Plant hormone related"
"363","Sobic.001G276300.1.p","ABRE4",0,"Plant hormone related"
"364","Sobic.001G276400.1.p","ABRE4",3,"Plant hormone related"
"365","Sobic.001G276600.1.p","ABRE4",0,"Plant hormone related"
"366","Sobic.001G276700.1.p","ABRE4",0,"Plant hormone related"
"367","Sobic.001G276800.1.p","ABRE4",0,"Plant hormone related"
"368","Sobic.001G282000.1.p","ABRE4",0,"Plant hormone related"
"369","Sobic.001G282100.1.p","ABRE4",1,"Plant hormone related"
"370","Sobic.001G302800.1.p","ABRE4",1,"Plant hormone related"
"371","Sobic.001G443900.1.p","ABRE4",2,"Plant hormone related"
"372","Sobic.001G444000.1.p","ABRE4",2,"Plant hormone related"
"373","Sobic.001G444100.1.p","ABRE4",0,"Plant hormone related"
"374","Sobic.001G511000.2.p","ABRE4",1,"Plant hormone related"
"375","Sobic.001G541900.2.p","ABRE4",0,"Plant hormone related"
"376","Sobic.002G000800.2.p","ABRE4",0,"Plant hormone related"
"377","Sobic.002G064800.1.p","ABRE4",0,"Plant hormone related"
"378","Sobic.002G091800.1.p","ABRE4",0,"Plant hormone related"
"379","Sobic.002G367700.1.p","ABRE4",0,"Plant hormone related"
"380","Sobic.003G076200.2.p","ABRE4",1,"Plant hormone related"
"381","Sobic.003G107100.1.p","ABRE4",1,"Plant hormone related"
"382","Sobic.003G185100.1.p","ABRE4",1,"Plant hormone related"
"383","Sobic.003G295500.1.p","ABRE4",1,"Plant hormone related"
"384","Sobic.003G304000.1.p","ABRE4",1,"Plant hormone related"
"385","Sobic.003G304100.1.p","ABRE4",0,"Plant hormone related"
"386","Sobic.003G371000.1.p","ABRE4",2,"Plant hormone related"
"387","Sobic.003G371100.1.p","ABRE4",1,"Plant hormone related"
"388","Sobic.003G371250.1.p","ABRE4",0,"Plant hormone related"
"389","Sobic.003G371400.1.p","ABRE4",2,"Plant hormone related"
"390","Sobic.003G371600.2.p","ABRE4",0,"Plant hormone related"
"391","Sobic.003G371750.1.p","ABRE4",0,"Plant hormone related"
"392","Sobic.003G372000.1.p","ABRE4",0,"Plant hormone related"
"393","Sobic.003G372100.2.p","ABRE4",1,"Plant hormone related"
"394","Sobic.003G392700.1.p","ABRE4",1,"Plant hormone related"
"395","Sobic.003G399200.1.p","ABRE4",0,"Plant hormone related"
"396","Sobic.004G193000.1.p","ABRE4",1,"Plant hormone related"
"397","Sobic.004G243200.1.p","ABRE4",0,"Plant hormone related"
"398","Sobic.004G260500.1.p","ABRE4",0,"Plant hormone related"
"399","Sobic.004G276200.1.p","ABRE4",2,"Plant hormone related"
"400","Sobic.005G090600.1.p","ABRE4",0,"Plant hormone related"
"401","Sobic.005G107400.1.p","ABRE4",0,"Plant hormone related"
"402","Sobic.005G107500.1.p","ABRE4",0,"Plant hormone related"
"403","Sobic.005G110466.1.p","ABRE4",1,"Plant hormone related"
"404","Sobic.006G089300.1.p","ABRE4",1,"Plant hormone related"
